,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
14979,Orphan,"Horror, Mystery, Thriller","Horror Films,Thrillers,Psychological Thrillers","English, American Sign Language, Estonian",Movie,2.8,"United Kingdom,Greece,Israel,South Korea,Australia",> 2 hrs,Jaume Collet-Serra,"Isabelle Fuhrman, Vera Farmiga, CCH Pounder, Peter Sarsgaard",7.0,56.0,42.0,1.0,"$41,596,251",24 Jul 2009,"Kate and John Coleman adopt 9-year-old Esther from an orphanage, but it doesnt take long for Kate to see through Esthers angelic façade.",191913.0
14986,Knowing,"Action, Drama, Sci-Fi, Thriller","Thrillers,Sci-Fi & Fantasy,Sci-Fi Thrillers,Alien Sci-Fi,Mysteries",English,Movie,2.3,"Japan,United Kingdom,Italy,Hong Kong,Argentina,Brazil,Colombia",> 2 hrs,Alex Proyas,"Lara Robinson, Nicolas Cage, Chandler Canterbury, Rose Byrne",6.2,34.0,41.0,1.0,"$79,957,634",20 Mar 2009,An MIT astrophysics professor and his son unearth a string of numbers from a time capsule that seem to reveal a cataclysm that will wipe out humanity.,221205.0
14987,My Sisters Keeper,"Drama, Family","Dramas,Courtroom Dramas,Dramas based on a book,Tearjerkers,Dramas based on contemporary literature,Movies Based on Books,US Movies",English,Movie,2.9,"Switzerland,South Korea,Belgium,Netherlands,Israel,Italy,Australia,India,United Kingdom",1-2 hour,Nick Cassavetes,"Sofia Vassilieva, Abigail Breslin, Walter Raney, Cameron Diaz",7.4,48.0,51.0,4.0,"$49,200,230",26 Jun 2009,A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.,89704.0
14989,Killers,"Action, Comedy, Romance, Thriller","Romantic Comedies,Action Comedies,Spy Action & Adventure,Comedies,Action & Adventure,Crime Action & Adventure,Romantic Films,Dark Comedies,Crime Comedies,Crime Movies,Romantic Favorites",English,Movie,1.4,"Belgium,Netherlands,Israel",1-2 hour,Robert Luketic,"Catherine O'Hara, Katherine Heigl, Ashton Kutcher, Tom Selleck",5.5,10.0,21.0,2.0,"$47,059,963",04 Jun 2010,"After giving up the gun and settling down, an elite assassin learns that someone from his past has put a contract out on his now tranquil life.",87580.0
14991,Spy Kids,"Action, Adventure, Comedy, Family, Sci-Fi","Family Features,Family Comedies,Family Adventures,Action Comedies,Children & Family Films,Films for ages 8 to 10,Comedies","English, Spanish",Movie,3.6,Canada,1-2 hour,Robert Rodriguez,"Carla Gugino, Daryl Sabara, Antonio Banderas, Alexa PenaVega",5.5,93.0,71.0,2.0,"$112,719,001",30 Mar 2001,The tables are turned when pint-sized kids Carmen and Juni must rescue their secret-agent parents from the diabolical clutches of Alexander Minion.,109000.0
14993,The Karate Kid,"Action, Drama, Family, Sport","Dramas,Family Features,Children & Family Films,Martial Arts Films,Family Dramas,US Movies","English, Mandarin",Movie,3.1,"Lithuania,Romania,France,Hungary,Portugal,Belgium,Iceland,Czech Republic,Netherlands,Spain,Poland,Slovakia,Turkey,India,Israel,Hong Kong,Germany,Mexico,Argentina,Brazil,Colombia,Russia",> 2 hrs,Harald Zwart,"Wenwen Han, Jaden Smith, Taraji P. Henson, Jackie Chan",6.2,66.0,61.0,5.0,"$176,591,618",11 Jun 2010,"After moving to Beijing with his mother, Dre falls prey to a bully, so he takes lessons from a martial arts master in this remake of the 1984 classic.",162989.0
14995,John Q,"Crime, Drama, Thriller","Dramas,Thrillers,Social Issue Dramas,Crime Thrillers,Crime Dramas,US Movies","English, Spanish",Movie,2.1,"Lithuania,South Korea",1-2 hour,Nick Cassavetes,"Gabriela Oltean, Kimberly Elise, Denzel Washington, Ron Annabelle",7.1,23.0,30.0,2.0,"$71,756,802",15 Feb 2002,"A blue collar workers insurance wont cover his sons heart transplant, so he holds a hospital ER hostage until doctors agree to perform the surgery.",124414.0
14998,Space Jam,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport","Children & Family Films,Films for ages 8 to 10,Comedies,Family Comedies,Sports Films,Sports Comedies,Films for ages 5 to 7,Sci-Fi & Fantasy,Family Sci-Fi & Fantasy,Sci-Fi,Family Features,US Movies",English,Movie,2.8,"Switzerland,Portugal,France,Belgium,United Kingdom,Lithuania,Canada,Mexico,India,Brazil,Germany,Italy,Australia,Argentina,Colombia",1-2 hour,Joe Pytka,"Michael Jordan, Manner Washington, Wayne Knight, Theresa Randle",6.5,43.0,59.0,5.0,"$90,418,342",15 Nov 1996,Basketball legend Michael Jordan hoops it up with Bugs Bunny and other Looney Tunes characters in this romp that blends live action with animation.,163589.0
15000,The Nut Job,"Animation, Adventure, Comedy, Crime, Family","Family Features,Animal Tales,Family Feature Animation,Family Comedies,Family Adventures,Children & Family Films,Films for ages 8 to 10,Comedies,Canadian Movies,Heist Films","English, Dutch",Movie,1.8,"Germany,Australia,United Kingdom,United States,Malaysia,Canada,South Korea",1-2 hour,Peter Lepeniotis,"Liam Neeson, Katherine Heigl, Brendan Fraser, Will Arnett",5.7,12.0,37.0,1.0,"$64,251,541",17 Jan 2014,"When his grouchy attitude gets him kicked out of the park, Surly the squirrel hatches a plan to rob Maurys Nut Shop to stock up for winter.",26666.0
15001,The Rundown (Welcome to the Jungle),"Action, Adventure, Comedy, Thriller","Action Thrillers,Action Comedies,Comedies,Action & Adventure,Adventures,Crime Action & Adventure,Crime Comedies,Crime Movies","English, Portuguese",Movie,3.2,"Switzerland,Germany,Italy,South Africa",1-2 hour,Peter Berg,"Dwayne Johnson, Seann William Scott, Rosario Dawson, Christopher Walken",6.7,69.0,59.0,2.0,"$47,726,342",26 Sep 2003,"Looking to retire and open a restaurant, a bounty hunter gets roped into one final assignment: fetching his bosss errant son from the Amazon jungle.",101364.0
