,Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Boxoffice,Release Date,Summary,IMDb Votes
15,Joker,"Crime, Drama, Thriller","Dark Comedies,Crime Comedies,Dramas,Comedies,Crime Dramas,Swedish Movies",English,Movie,3.5,"Lithuania,Poland,France,Italy,Spain,Greece,Belgium,Portugal,Netherlands,Germany,Iceland,Czech Republic",1-2 hour,Todd Phillips,"Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",8.4,68.0,59.0,112.0,"$335,451,311",04 Oct 2019,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",951938.0
16,I,"Action, Adventure, Fantasy, Sci-Fi","Dramas,Swedish Movies","English, Sanskrit",Movie,2.8,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Iceland",1-2 hour,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,52.0,51.0,26.0,"$474,544,677",19 May 1999,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,733336.0
17,Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Dramas,Swedish Movies",English,Movie,4.4,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,Netherlands,Germany,Romania,Switzerland,United Kingdom,Iceland",1-2 hour,David Yates,"Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",8.1,96.0,85.0,46.0,"$381,409,310",15 Jul 2011,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",766594.0
28,The Closet,Comedy,"Korean Movies,Horror Movies,Mysteries",French,Movie,3.8,South Korea,1-2 hour,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",7.0,85.0,72.0,1.0,"$6,678,894",10 Aug 2001,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,16657.0
60,Ordinary People,Drama,"Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,4.2,South Korea,1-2 hour,Robert Redford,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",7.7,89.0,86.0,19.0,"$54,766,923",19 Sep 1980,"During a probe into a missing high school student, her best friend and a new gym teacher stumble upon the sinister truth behind her disappearance.",47265.0
69,Stand by Me,"Adventure, Drama","Korean Movies,Dramas",English,Movie,4.1,South Korea,1-2 hour,Rob Reiner,"Jerry O'Connell, Wil Wheaton, River Phoenix, Corey Feldman",8.1,91.0,75.0,5.0,"$52,287,414",22 Aug 1986,"Learning of his imminent departure from life, a grandfather spends his final days preparing parting gifts for his young grandchildren.",364302.0
73,Wonderstruck,"Adventure, Drama, Mystery","Children & Family Movies,Action & Adventure,Dramas,Adventures,Movies Based on Books,Mysteries,Family Features,US Movies","English, Spanish",Movie,3.6,South Korea,1-2 hour,Todd Haynes,"James Urbaniak, Julianne Moore, Millicent Simmonds, Cory Michael Smith",6.2,68.0,71.0,1.0,"$1,060,377",20 Oct 2017,Two children from different eras each embark on a journey of self-discovery that leads to New York City and a mysterious bond that connects them both.,9533.0
96,The Girl on the Train,"Crime, Drama, Mystery, Thriller","Bollywood Movies,Psychological Thrillers,Crime Movies,Thriller Movies,Movies Based on Books,Mysteries,Indian Movies,Crime Thrillers,Hindi-Language Movies","English, Spanish",Movie,2.6,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",> 2 hrs,Tate Taylor,"Emily Blunt, Justin Theroux, Rebecca Ferguson, Haley Bennett",6.5,44.0,48.0,4.0,"$75,395,035",07 Oct 2016,A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,169614.0
109,Red,"Action, Comedy, Crime, Thriller","Dramas,Crime Movies,Crime Dramas,Indian Movies,Telugu-Language Movies","English, Russian",Movie,3.4,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina",> 2 hrs,Robert Schwentke,"Bruce Willis, Jefferson Brown, Mary-Louise Parker, Heidi von Palleske",7.0,72.0,60.0,4.0,"$90,380,162",15 Oct 2010,"A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.",290548.0
122,Burden,Drama,"Movies Based on Real Life,Dramas,Award-winning Dramas",English,Movie,7.8,Netherlands,1-2 hour,Andrew Heckler,"Garrett Hedlund, Tom Wilkinson, Andrea Riseborough, Forest Whitaker",6.6,97.0,57.0,2.0,"$139,270",09 Jun 2020,A young man who rises to the top of the South Carolina Ku Klux Klan decides to walk away with the help of an unexpected ally. Based on real events.,1814.0
144,Repo Man,"Action, Comedy, Crime, Sci-Fi, Thriller","Comedies,Independent Movies,Classic Movies","English, Spanish",Movie,4.2,"Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania",1-2 hour,Alex Cox,"Olivia Barash, Tracey Walter, Harry Dean Stanton, Emilio Estevez",6.9,98.0,82.0,2.0,"$129,000",02 Mar 1984,"Once lacking purpose, delinquent Otto finds a code of honor and a higher calling when he hooks up with a band of contemporary ""knights"": the repo men.",33965.0
184,Mr. & Mrs. Incredible,"Action, Comedy, Crime, Thriller","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Romantic Comedies,Comedies,Romantic Films,Fantasy,Slapstick Comedies,Action Comedies,Mainland Chinese Movies","English, Spanish",Movie,3.0,"Singapore,Malaysia",1-2 hour,Doug Liman,"Adam Brody, Brad Pitt, Angelina Jolie, Vince Vaughn",6.5,60.0,55.0,9.0,"$186,336,279",10 Jun 2005,Two superheroes give up their day jobs for married life in a small village but discover domestic bliss is harder to pull off than fighting evil.,451482.0
244,Ill Always Know What You Did Last Summer,"Action, Adventure, Fantasy, Sci-Fi","Horror Films,Films Based on Books,US Movies","English, Sanskrit",Movie,2.8,"Thailand,Singapore,India,Hong Kong",1-2 hour,George Lucas,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",6.5,52.0,51.0,26.0,"$474,544,677",19 May 1999,"When a simple Fourth of July prank goes terribly wrong and turns into a deadly tragedy, wary friends vow to take their secret to the grave.",733336.0
251,The House That Jack Built,"Crime, Drama, Horror, Thriller","Crime Movies,Independent Movies,Thriller Movies,Crime Thrillers,Danish Movies","English, German, Italian",Movie,2.8,Germany,> 2 hrs,Lars von Trier,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan",6.8,59.0,42.0,11.0,"$258,106",17 Oct 2018,"On his way to hell, a serial killer — and frustrated architect — attempts to compare his brutal and increasingly bizarre murders to art.",59945.0
261,Sonic the Hedgehog,"Action, Adventure, Comedy, Sci-Fi","Children & Family Movies,Comedies,Action Comedies,Family Features,Family Comedies","English, French",Movie,2.9,"Russia,Japan",1-2 hour,Jeff Fowler,"Tika Sumpter, James Marsden, Ben Schwartz, Jim Carrey",6.5,63.0,47.0,2.0,"$148,974,665",14 Feb 2020,A small-town sheriff helps an alien hedgehog with supersonic speed outrun a mad doctor who wants the creatures special powers to dominate the world.,89305.0
284,Touch Me Not,Drama,"Dramas,Independent Movies","English, German",Movie,6.9,Romania,> 2 hrs,Adina Pintilie,"Tómas Lemarquis, Laura Benson, Christian Bayerlein, Grit Uhlemann",5.9,59.0,65.0,4.0,"$13,782",31 Oct 2018,"In this experimental film, a filmmaker and her characters, including a woman who dislikes being touched, explore the emotional barriers toward intimacy.",2311.0
294,The Hunt,Drama,"Action & Adventure,Horror Movies,US Movies","Danish, English, Polish",Movie,4.2,South Korea,1-2 hour,Thomas Vinterberg,"Mads Mikkelsen, Lasse Fogelstrøm, Annika Wedderkopp, Thomas Bo Larsen",8.3,93.0,77.0,37.0,"$613,308",10 Jan 2013,"In this dark horror satire, wealthy elites hunt innocent ordinary citizens for sport — until one of them turns the tables on her pursuers.",282998.0
308,Affliction,"Drama, Mystery, Thriller","Horror Films,Indonesian Films",English,Movie,4.0,"Thailand,Singapore,Malaysia",1-2 hour,Paul Schrader,"Holmes Osborne, Jim True-Frost, Brigid Tierney, Nick Nolte",7.0,88.0,79.0,8.0,"$6,330,054",19 Feb 1999,"During a haunting visit with her family, a grieving wife tries to uncover the disturbing reasons behind her mother-in-laws deteriorating condition.",15218.0
349,Marlina the Murderer in Four Acts,"Drama, Thriller, Western","Dramas,Westerns,Thrillers,Indonesian Films",Indonesian,Movie,7.8,Singapore,1-2 hour,Mouly Surya,"Egy Fedly, Tumpal Tampubolon, Yoga Pratama, Marsha Timothy",7.0,98.0,77.0,19.0,"$17,788",16 Nov 2017,"After encountering a group of bandits with plans to rape and steal from her, a young widow ventures into the wilderness in search of justice.",2545.0
372,Infamous,"Biography, Crime, Drama","Dramas,Crime Dramas,Thrillers,Crime Thrillers",English,Movie,3.5,Canada,1-2 hour,Douglas McGrath,"Sigourney Weaver, Sandra Bullock, Toby Jones, Gwyneth Paltrow",7.0,74.0,68.0,3.0,"$1,151,330",13 Oct 2006,A Florida waitress and an ex-con become a modern-day Bonnie and Clyde when they document a crime spree on social media and amass millions of followers.,16294.0
399,Midnight Family,"Documentary, Action, Crime, Drama","Social & Cultural Documentaries,Mexican Films,Documentaries",Spanish,Movie,8.5,"Mexico,Argentina,Colombia",1-2 hour,Luke Lorentzen,"Manuel Hernandez, Juan Ochoa, Fer Ochoa, Josue Ochoa",7.4,97.0,81.0,23.0,"$42,310",06 Mar 2020,"This documentary races through the streets of Mexico City with the Ochoa family, whose ambulance service faces life-or-death situations every night.",1412.0
420,The Elephant Man,"Biography, Drama","Movies Based on Real Life,Dramas,Independent Movies,Movies Based on Books,Period Pieces,Award-winning Dramas","English, French",Movie,4.2,"Belgium,France",> 2 hrs,David Lynch,"Anthony Hopkins, John Hurt, John Gielgud, Anne Bancroft",8.1,92.0,78.0,10.0,"$26,010,864",10 Oct 1980,"With a disfigured face and barely perceptible speech, John Merrick endures ostracizing behavior as a sideshow attraction in mid-19th century England.",220688.0
461,Under the Silver Lake,"Crime, Drama, Mystery, Thriller","Dramas,Crime Movies,Crime Dramas,Mysteries",English,Movie,3.1,Australia,> 2 hrs,David Robert Mitchell,"Wendy Vanden Heuvel, Riley Keough, Andrew Garfield, Deborah Geffner",6.5,59.0,60.0,3.0,"$46,083",19 Apr 2019,"In this modern-day noir, an obsessive slacker searches L.A. for his missing neighbor and discovers an underworld labyrinth of conspiracy.",33843.0
483,Butterfly,Drama,"Korean Movies,Documentary Films","Spanish, Gallegan, Latin",Movie,4.9,South Korea,1-2 hour,José Luis Cuerda,"Fernando Fernán Gómez, Uxía Blanco, Gonzalo Uriarte, Manuel Lozano",7.6,96.0,69.0,6.0,"$2,092,682",18 Aug 2000,"Seventy-eight years into marriage, love endures for one Korean couple as they live out their final shared years together in their rural home.",8277.0
486,High Life,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller","Sci-Fi & Fantasy,Sci-Fi Dramas,Thriller Movies,Sci-Fi Thrillers,German Movies",English,Movie,3.6,South Korea,1-2 hour,Claire Denis,"Robert Pattinson, Mia Goth, Juliette Binoche, André 3000",5.8,82.0,77.0,5.0,"$1,225,852",12 Apr 2019,A crew consisting of death-row prisoners and a duplicitous doctor sets out on a mysterious journey to the outer reaches of space.,29177.0
502,Just Mercy,"Biography, Crime, Drama","Movies Based on Real Life,Social Issue Dramas,Dramas,Crime Movies,Crime Dramas,Movies Based on Books",English,Movie,3.8,"Australia,Japan",> 2 hrs,Destin Daniel Cretton,"Christopher Wolfe, Jamie Foxx, Michael Harding, Charlie Pye Jr.",7.6,85.0,68.0,10.0,"$36,001,502",10 Jan 2020,"An idealistic, talented young lawyer heads to Alabama to defend death row inmates in need of proper legal representation. Based on a true story.",47215.0
513,Judy & Punch,"Biography, Drama, Romance","Dark Comedies,Social Issue Dramas,Crime Comedies,Australian Films,Dramas,Comedies,Period Pieces",English,Movie,3.6,United Kingdom,1-2 hour,Rupert Goold,"Jessie Buckley, Finn Wittrock, Rufus Sewell, Renée Zellweger",6.8,81.0,66.0,23.0,"$24,313,888",04 Oct 2019,"After her violent, boozy husband Punch lashes out and wrecks her life, gifted puppeteer Judy teams up with a band of outcasts to exact revenge.",41429.0
527,Grandmas Last Wishes,"Comedy, Drama","LGBTQ Movies,Comedies,Mexican Movies",English,Movie,3.9,"Lithuania,Poland,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Singapore,Germany,Argentina,Turkey,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,India,Hong Kong,Japan,South Korea,Russia,France,Colombia,Romania",1-2 hour,Paul Weitz,"Lily Tomlin, Julia Garner, Carlos Miranda, Judy Greer",6.7,91.0,77.0,5.0,"$6,980,524",18 Sep 2015,"After Grandma decides its time to put her affairs in order, her family clashes over wholl inherit her house in this sequel to ""Grandmas Wedding.""",14680.0
561,Babyteeth,"Comedy, Drama, Music, Romance","Dark Comedies,Australian Films,Dramas,Comedies",English,Movie,4.2,"Canada,United Kingdom",1-2 hour,Shannon Murphy,"Michelle Lotters, Eliza Scanlen, Toby Wallace, Sora Wakaki",7.2,94.0,77.0,27.0,"$4,507",19 Jun 2020,"Seriously ill teenager Milla shocks her overprotective parents when she falls for Moses, a drug-dealing dropout whos surprisingly good for her.",9757.0
645,What If,"Comedy, Romance","Romantic Dramas,Dramas,Romantic Movies,Turkish Movies,Turkish Dramas,Romantic Turkish Movies",English,Movie,3.3,Turkey,1-2 hour,Michael Dowse,"Daniel Radcliffe, Zoe Kazan, Adam Driver, Megan Park",6.8,74.0,59.0,2.0,"$3,493,000",15 Aug 2014,A filmmaker faces a choice that could result in two diverging lives: one in which he finds love and another that drives him to the edge.,71158.0
675,Gilberts Grim Revenge,"Documentary, Biography, Comedy","Children & Family Movies,Comedies,Movies Based on Books,Family Features,Family Comedies,Norwegian Movies",English,Movie,8.7,Sweden,1-2 hour,Neil Berkeley,"Joy Behar, Dave Attell, Richard Belzer, Gilbert Gottfried",7.5,95.0,73.0,1.0,"$8,362",01 Apr 2017,"Young Gilbert has an extreme — and extremely embarrassing — allergy to eggs. When his weird aunt deliberately serves them to him, he plots revenge.",716.0
676,Deck the Halls,"Comedy, Family","Action & Adventure,Dramas,Crime Movies,Crime Dramas,Crime Action & Adventure,Movies Based on Books,Mysteries","English, German",Movie,1.4,Sweden,1-2 hour,John Whitesell,"Kristin Chenoweth, Matthew Broderick, Danny DeVito, Kristin Davis",5.0,6.0,28.0,1.0,"$35,093,569",22 Nov 2006,"Just before the holidays, Det. Regan Reilly and cleaning woman-turned-private eye Alvirah Meegan investigate the kidnapping of Regans father.",23597.0
678,I Can Only Imagine,"Biography, Drama, Family, Music","Films Based on Real Life,Dramas,Faith & Spirituality,Music & Musicals",English,Movie,2.8,"Argentina,Mexico,Colombia",1-2 hour,"Andrew Erwin, Jon Erwin","Dennis Quaid, J. Michael Finley, Madeline Carroll, Trace Adkins",7.3,63.0,30.0,6.0,"$83,482,352",16 Mar 2018,"Based on MercyMes 2001 Christian rock ballad, this faith-based drama follows the emotional life story of the songs composer Bart Millard.",14390.0
696,Me & You vs The World,"Biography, Crime, Drama","Romantic Dramas,Dramas,Romantic Films,Films Based on Books,Indonesian Films","English, French",Movie,4.2,"Singapore,Thailand",1-2 hour,Steven Spielberg,"Martin Sheen, Leonardo DiCaprio, Christopher Walken, Tom Hanks",8.1,96.0,75.0,16.0,"$164,615,351",25 Dec 2002,"When a young man launches an outdoor adventure program, he forms a bond with a student that opens both of them up to new possibilities.",837936.0
712,The Way Back,"Adventure, Drama, History","Sports Movies,Dramas,Sports Dramas","English, Russian, Polish, Tibetan, Mongolian",Movie,3.5,Australia,1-2 hour,Peter Weir,"Dragos Bucur, Ed Harris, Colin Farrell, Alexandru Potocean",7.3,74.0,66.0,4.0,"$2,701,859",21 Jan 2011,"A former high-school basketball star is hired to coach at his alma mater, and battles alcoholism and personal demons on his bumpy road to redemption.",110733.0
713,The Whistleblower,"Biography, Crime, Drama","Action & Adventure,Chinese Movies,Mysteries,Action Thrillers","English, Romanian, Russian, Serbian, Ukrainian",Movie,3.4,Australia,> 2 hrs,Larysa Kondracki,"David Strathairn, Vanessa Redgrave, Monica Bellucci, Rachel Weisz",7.1,75.0,59.0,8.0,"$1,124,966",27 Oct 2011,A Chinese expat working for an Australian mining firm stumbles into a conspiracy involving a corporate cover-up and dangerous technology.,31769.0
725,"Its Me, Its Me",Horror,"Dark Comedies,Comedies,Thriller Movies,Movies Based on Books,Japanese Movies","English, Hebrew",Movie,3.8,"Hong Kong,India",1-2 hour,Andy Muschietti,"Sophia Lillis, Finn Wolfhard, Jaeden Martell, Jeremy Ray Taylor",7.3,86.0,69.0,8.0,"$328,828,874",08 Sep 2017,Hitoshi spirals into a bizarre identity crisis when a simple prank causes multiple versions of himself to start showing up all over town!,460854.0
762,Halloween 4: The Return of Michael Myers,"Horror, Thriller",Horror Movies,English,Movie,2.0,Portugal,1-2 hour,Dwight H. Little,"Ellie Cornell, George P. Wilbur, Danielle Harris, Donald Pleasence",5.9,29.0,34.0,1.0,"$17,768,757",21 Oct 1988,"A decade after he terrorized the town of Haddonfield, Michael Myers is back, this time seeking to kill his niece — and anyone who stands in his way.",44178.0
782,Emma,"Comedy, Drama, Romance","Romantic Comedies,Comedies,Romantic Movies,Movies Based on Books,Romantic Favorites,US Movies",English,Movie,3.7,South Korea,> 2 hrs,Douglas McGrath,"Greta Scacchi, Gwyneth Paltrow, Alan Cumming, James Cosmo",6.6,89.0,66.0,3.0,"$22,231,658",30 Aug 1996,"A proud, privileged young woman meddles in the lives of those around her, only to realize shes not quite as wise or well-meaning as she thought.",36103.0
783,Abominable,"Animation, Adventure, Comedy, Family, Fantasy","Children & Family Movies,US Movies","English, Mandarin",Movie,3.5,South Korea,1-2 hour,"Todd Wilderman, Jill Culton","Chloe Bennet, Albert Tsai, Joseph Izzo, Tenzing Norgay Trainor",7.0,81.0,61.0,4.0,"$60,826,390",27 Sep 2019,"An orphaned tomboy and her silly sidekicks help an escaped yeti journey across China to return to his Himalayan home, with a hunter in hot pursuit.",29620.0
819,Being Frank,Comedy,"Dramas,Comedies",English,Movie,6.6,Canada,1-2 hour,Miranda Bailey,"Logan Miller, Anna Gunn, Jim Gaffigan, Samantha Mathis",6.0,34.0,41.0,3.0,"$67,343",21 Jun 2019,A rebellious teen sneaks away on a spring break trip but unexpectedly discovers his father’s secret second family — and spends time with them instead.,1249.0
824,Dora and the Lost City of Gold,"Adventure, Comedy, Family, Mystery","Children & Family Movies,Comedies,Action Comedies,Family Features,Family Comedies","English, Spanish, Quechua",Movie,3.5,"Russia,Lithuania,Sweden,Iceland,Belgium",1-2 hour,James Bobin,"Dee Bradley Baker, Malachi Barton, Benicio Del Toro, Madelyn Miranda",6.1,85.0,63.0,4.0,"$60,477,943",09 Aug 2019,"When her parents disappear during a search for an ancient city of gold, the exuberant teen explorer and her friends head into the jungle to save them.",24321.0
830,The Rhythm Section,"Action, Drama, Mystery, Thriller","Action & Adventure,Movies Based on Books,British Movies,Action Thrillers","English, French",Movie,2.1,"Japan,Russia",1-2 hour,Reed Morano,"David Duggan, Elly Curtis, Blake Lively, Richard Brake",5.3,28.0,45.0,1.0,"$5,437,971",31 Jan 2020,"Devastated when her family is killed in a plane crash, a woman steps into the dark labyrinth of international espionage in search of retribution.",12701.0
843,Godzilla & Mothra: Battle for Earth,"Action, Adventure, Sci-Fi, Thriller","Sci-Fi & Fantasy,Japanese Movies","English, Japanese",Movie,3.4,Japan,1-2 hour,Gareth Edwards,"Bryan Cranston, CJ Adams, Aaron Taylor-Johnson, Ken Watanabe",6.4,76.0,62.0,7.0,"$200,676,069",16 May 2014,"Six months after a meteorite strike, larvae of Mothra and her ancient archnemesis Battra stage a three-way battle between themselves and Godzilla.",377876.0
849,Godzilla,"Action, Adventure, Sci-Fi, Thriller","Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Japanese Movies,Classic Movies,Classic Japanese Movies","English, Japanese",Movie,3.4,Japan,1-2 hour,Gareth Edwards,"Bryan Cranston, CJ Adams, Aaron Taylor-Johnson, Ken Watanabe",6.4,76.0,62.0,7.0,"$200,676,069",16 May 2014,"Awakened by nuclear weapons testing, an ancient monster rises from the depths of the Pacific Ocean and begins wreaking havoc on Japan.",377876.0
864,Fiction.,"Crime, Drama","Psychological Thrillers,Independent Films,Thrillers,Indonesian Films","English, Spanish, French",Movie,4.6,"Thailand,Singapore,Malaysia",1-2 hour,Quentin Tarantino,"Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta",8.9,92.0,94.0,70.0,"$107,928,762",14 Oct 1994,"When a sheltered young woman becomes enamored with a struggling writer, she goes to great lengths to become involved in his creative process.",1831004.0
884,A Perfect Day,"Comedy, Drama, War","Italian Dramas,Dramas,Italian Thrillers,Italian Movies,Thriller Movies,Movies Based on Books","English, Serbian, Spanish, French, Bosnian",Movie,3.3,Italy,1-2 hour,Fernando León de Aranoa,"Tim Robbins, Mélanie Thierry, Benicio Del Toro, Olga Kurylenko",6.8,72.0,60.0,4.0,"$14,044",15 Jan 2016,"Bodyguard Antonio doesnt accept his wifes decision to leave him, and he follows her throughout her day, hoping for reconciliation. Meanwhile, his boss, politician Elio Fioravanti, faces serious family difficulties of his own.",20595.0
965,True History of the Kelly Gang,"Biography, Crime, Drama, Western","Dramas,Crime Dramas,Westerns,Films Based on Books","English, Latin",Movie,4.6,Canada,> 2 hrs,Justin Kurzel,"Orlando Schwerdt, George MacKay, Ben Corbett, Charlie Hunnam",6.0,79.0,75.0,6.0,"$33,817",24 Apr 2020,"Part Billy the Kid, part Robin Hood, notorious bandit Ned Kelly rebels against the colonial powers ruling Australia in this stylish historical epic.",7968.0
968,Widows,"Crime, Drama, Thriller","Dramas,Crime Dramas,Thrillers,Crime Thrillers","English, Spanish, Polish",Movie,4.1,Canada,> 2 hrs,Steve McQueen,"Liam Neeson, Viola Davis, Jon Bernthal, Manuel Garcia-Rulfo",6.9,91.0,84.0,18.0,"$42,402,632",16 Nov 2018,"United only by their shared loss, four women must pull off a heist to pay back a crippling debt left behind by their deceased criminal husbands.",87559.0
971,The Wretched,Horror,"Monster Films,Teen Films,Creature Features,Independent Films,Horror Films,Supernatural Horror Films,Teen Screams",English,Movie,3.2,"Canada,Australia",1-2 hour,"Drew T. Pierce, Brett Pierce","Azie Tesfai, John-Paul Howard, Jamison Jones, Piper Curda",5.8,75.0,61.0,4.0,"$1,814,193",01 May 2020,"A teen is pulled into a horrifying fight against evil when he finds an ancient, sinister spirit has targeted the family of a little boy next door.",10850.0
1006,Motherless Brooklyn,"Crime, Drama, Mystery","Social Issue Dramas,Dramas,Crime Dramas,Movies Based on Books,Mysteries,US Movies","English, French",Movie,3.2,"Japan,Australia,Sweden",> 2 hrs,Edward Norton,"Willem Dafoe, Alec Baldwin, Gugu Mbatha-Raw, Edward Norton",6.8,63.0,60.0,2.0,"$9,277,736",01 Nov 2019,"Determined to solve the mystery of a mentors death, a scrappy detective with Tourette syndrome uncovers a web of civic corruption in 1950s New York.",44513.0
1049,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),"Action, Adventure, Comedy, Crime","Dark Comedies,Action & Adventure,Comedies,Crime Action & Adventure,Comic Book and Superhero Movies,Gangster Action & Adventure,Action Comedies,US Movies","English, Chinese",Movie,3.3,"Japan,Australia,Sweden",1-2 hour,Cathy Yan,"Margot Robbie, Jurnee Smollett, Mary Elizabeth Winstead, Rosie Perez",6.1,78.0,60.0,5.0,"$84,158,461",07 Feb 2020,"After breaking it off with the Joker, Harley Quinn becomes a target till she teams up with an all-women superhero squad to battle a crime kingpin.",168176.0
1053,American Animals,"Biography, Crime, Drama, History, Thriller","Movies Based on Real Life,Dramas,Crime Dramas,Thriller Movies,Crime Thrillers,British Movies","English, Dutch",Movie,3.8,Japan,1-2 hour,Bart Layton,"Eric Borsuk, Chas Allen, Spencer Reinhard, Warren Lipka",7.0,88.0,68.0,10.0,"$2,856,954",14 Aug 2018,A group of wildly different college friends plot and attempt a deeply misguided heist to steal from a university’s valuable rare book collection.,38839.0
1067,The Call,"Crime, Drama, Horror, Thriller","Psychological Thrillers,Korean Movies,Thriller Movies,Crime Thrillers",English,Movie,2.7,"Australia,Poland,Brazil,India,Hong Kong,Japan,United States,Canada,France,Italy,Singapore,Spain,Argentina,Greece,Israel,Switzerland,Czech Republic,United Kingdom,Slovakia,Sweden,Netherlands,Germany,Thailand,Russia,Mexico,Belgium,Turkey,Malaysia,Hungary,South Korea,South Africa,Iceland,Portugal,Lithuania,Colombia,Romania",1-2 hour,Brad Anderson,"Morris Chestnut, Abigail Breslin, Michael Eklund, Halle Berry",6.7,44.0,51.0,1.0,"$51,872,378",15 Mar 2013,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate.",113200.0
1079,Whose Streets?,Documentary,"Social & Cultural Docs,Documentary Films",English,Movie,8.2,United States,1-2 hour,"Sabaah Folayan, Damon Davis","Lezley McSpadden, Michael Brown Sr., David Whitt, Montague Simmons",5.4,98.0,79.0,2.0,"$182,799",11 Aug 2017,"Powered by activists and leaders, this documentary follows the rise of the Black Lives Matter movement following the 2014 killing of Michael Brown.",1230.0
1089,Gemini Man,"Action, Drama, Sci-Fi, Thriller","Action & Adventure,Spy Action & Adventure,Action Thrillers","English, French",Movie,2.0,"Lithuania,Japan,Russia,Sweden,Iceland",1-2 hour,Ang Lee,"Benedict Wong, Will Smith, Clive Owen, Mary Elizabeth Winstead",5.7,26.0,38.0,1.0,"$48,546,770",11 Oct 2019,"A recently-retired sniper faces off with a younger, stronger, cloned version of himself that a covert government agency has engineered to kill him.",86715.0
1114,A Guy & A Girl,"Comedy, Romance","Middle-Eastern Films,Romantic Films,Egyptian Movies",English,Movie,2.5,Israel,1-2 hour,Donald Petrie,"Annie Parisse, Kate Hudson, Kathryn Hahn, Matthew McConaughey",6.4,42.0,45.0,1.0,"$105,813,373",07 Feb 2003,"An adolescent crush evolves into a complicated romance for Shahed and Sameh, whose differences constantly test their relationship.",212311.0
1133,The Hero,"Drama, Romance, Western","Military Dramas,Romantic Dramas,Dramas,Romantic Movies,Russian Movies,Period Pieces",English,Movie,4.3,Russia,1-2 hour,Brett Haley,"Nick Offerman, Laura Prepon, Sam Elliott, Krysten Ritter",6.5,78.0,61.0,2.0,"$4,077,333",09 Jun 2017,"As the First World War swiftly changes their circumstances, a princess and a lieutenant find their romance tested by forces dividing their nation.",8137.0
